personname,role,companyname,marketvalue
Matti Saastamoinen,Hallituksen jäsen,Gofore Oyj,"357 834 176,15"
Thomas Slettemoen,Hallituksen jäsen,TietoEVRY Oyj,"2 193 245 278,92"
Anders Palklint,Hallituksen jäsen,TietoEVRY Oyj,"2 193 245 278,92"
Kasper Skovgaard Pedersen,Hallituksen jäsen,Nordea Bank Abp,"38 175 846 731,55"
Arne Larsen,Hallituksen jäsen,Anora Group Oyj,"335 065 975,04"
Jussi Mikkola,Hallituksen jäsen,Anora Group Oyj,"335 065 975,04"
Hans Christian  Riise,Hallituksen jäsen,Nordea Bank Abp,"38 175 846 731,55"
Joanna Koskinen,Hallituksen jäsen,Nordea Bank Abp,"38 175 846 731,55"
Ciaran Martin,Hallituksen jäsen,WithSecure Oyj,"184 551 478,47"
Harri Ruusinen,Hallituksen jäsen,WithSecure Oyj,"184 551 478,47"
Katja Kuusikumpu,Hallituksen jäsen,F-Secure Oyj,"327 337 511,21"
Sami Piittisjärvi,Hallituksen jäsen,Konecranes Oyj,"3 899 302 213,32"
Ilpo Waljus,Hallituksen jäsen,TietoEVRY Oyj,"2 193 245 278,92"
Tommy Sander  Aldrin,Hallituksen jäsen,TietoEVRY Oyj,"2 193 245 278,92"
Gerhard Olsson,Hallituksen jäsen,Nordea Bank Abp,"38 175 846 731,55"
Eirik Hjelmeland,Hallituksen jäsen,Heeros Oyj,"17 353 815,84"
Tomas  Karlsson,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Patrick Sjöholm,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Sture Bergvall,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Tomas Lindholm,Hallituksen jäsen,Viking Line Abp,"388 800 000,00"
Fredrik Vojbacke,Hallituksen jäsen,Viking Line Abp,"388 800 000,00"
Casper Lundqvist,Hallituksen jäsen,Viking Line Abp,"388 800 000,00"
Mikael Henriksson,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Tomas Westman,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Tomas Jansson,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Eric Alström,Hallituksen jäsen,Cargotec Oyj,"4 028 083 458,00"
Jukka Moisio,Hallituksen jäsen,Cargotec Oyj,"4 028 083 458,00"
Tuija Pohjolainen-Hiltunen,Hallituksen jäsen,Cargotec Oyj,"4 028 083 458,00"
Luca Sra,Hallituksen jäsen,Cargotec Oyj,"4 028 083 458,00"
Herman Korsgaard,Hallituksen jäsen,Mandatum,"2 176 794 310,18"
Jens Joller,Hallituksen jäsen,Puuilo Oyj,"807 924 362,09"
Anne-Mari Paapio,Hallituksen jäsen,Puuilo Oyj,"807 924 362,09"
Linda von Schantz,Hallituksen jäsen,QPR Software Oyj,"11 014 166,35"
Jari Niska,Hallituksen jäsen,Loihde Oyj,"83 099 788,10"
Christian Wetterstrand,Hallituksen jäsen,Loihde Oyj,"83 099 788,10"
Jari Vähäpesola,Hallituksen jäsen,Spinnova Oy,"82 416 864,93"
Vesa Silaskivi,Hallituksen jäsen,Spinnova Oy,"82 416 864,93"
Sebastian Vinsten,Hallituksen jäsen,Spinnova Oy,"82 416 864,93"
Jon Unnérus,Hallituksen jäsen,KH Group Oyj,"46 114 642,63"
Patrik Rautaheimo,Hallituksen jäsen,Meriaura Group Oyj,"39 179 417,72"
Antti Vehviläinen,Hallituksen jäsen,Meriaura Group Oyj,"39 179 417,72"
Tommi Santanen,Hallituksen jäsen,Titanium Oyj,"106 303 037,00"
Jyrki Liljeroos,Hallituksen jäsen,Modulight Oyj,"38 781 411,76"
Elisa Markula,Hallituksen jäsen,Nokian Renkaat Oyj,"1 261 131 646,50"
Elina Björklund,Hallituksen jäsen,Nokian Renkaat Oyj,"1 261 131 646,50"
Niilo Fredrikson,Hallituksen jäsen,Efecte Oyj,"96 913 860,00"
Simon Begg,Hallituksen jäsen,Efecte Oyj,"96 913 860,00"
Marc Breitfeld,Hallituksen jäsen,Efecte Oyj,"96 913 860,00"
Olli Liitola,Hallituksen jäsen,Harvia Oyj,"742 161 169,20"
Jussi Kniivilä,Hallituksen jäsen,Saga Furs Oyj,"38 520 000,00"
Erika Ottela,Hallituksen jäsen,Saga Furs Oyj,"38 520 000,00"
Daniel Blomqvist,Hallituksen jäsen,Saga Furs Oyj,"38 520 000,00"
Astrid Stange,Hallituksen jäsen,Sampo Oyj,"20 006 636 502,24"
Robert K. Beckler,Hallituksen jäsen,Huhtamäki Oyj,"3 855 666 575,30"
Johanna Grönroos,Hallituksen jäsen,Solwers Oyj,"38 617 003,30"
Satoko Taguma,Hallituksen jäsen,Tulikivi Oyj,"27 480 900,54"
Magnus Wetter,Hallituksen jäsen,Digitalist Group Oyj,"5 686 129,73"
Kerstin Enochsson,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Pierre Heeroma,Hallituksen jäsen,SSAB Ab,"5 648 129 947,77"
Tuula Haataja,Hallituksen jäsen,Viafin Service Oyj,"59 875 117,50"
Eja Tuominen,Hallituksen jäsen,Tokmanni Group Oyj,"865 370 654,40"
Joni Lukkaroinen,Hallituksen jäsen,Sotkamo Silver AB,"39 434 625,11"
Aija Bärlund,Hallituksen jäsen,Elecster Oyj,"18 140 881,44"
Juuso Halonen,Hallituksen jäsen,Elecster Oyj,"18 140 881,44"
Veronika Halonen,Hallituksen jäsen,Elecster Oyj,"18 140 881,44"
Tero Ylinenpää,Hallituksen jäsen,Elecster Oyj,"18 140 881,44"
Maren Kroll,Hallituksen jäsen,Kamux Oyj,"214 493 371,20"
Kati Riikonen,Hallituksen jäsen,Kamux Oyj,"214 493 371,20"
Pascal Lebard,Hallituksen jäsen,Rapala VMC Oyj,"122 850 000,00"
Johan Berg,Hallituksen jäsen,Rapala VMC Oyj,"122 850 000,00"
Heli Arantola,Hallituksen jäsen,Apetit Oyj,"87 182 548,80"
Niclas Diesen,Hallituksen jäsen,HKScan Oyj,"70 255 764,51"
Lauri Sipponen,Hallituksen jäsen,HKScan Oyj,"70 255 764,51"
Sami Yski,Hallituksen jäsen,HKScan Oyj,"70 255 764,51"
Ilkka Uusitalo,Hallituksen jäsen,HKScan Oyj,"70 255 764,51"
Ville Vuori,Hallituksen jäsen,Aspocomp Group Oyj,"21 413 707,20"
Klaus Cawén,Hallituksen jäsen,Sanoma Oyj,"1 108 975 195,14"
Jussi Vanhanen,Hallituksen jäsen,Boreo Oyj,"62 131 119,00"
Massimiliano Brunazzo,Hallituksen jäsen,Marimekko Oyj,"493 480 923,80"
Christoph Vitzthum,Hallituksen jäsen,Elisa Oyj,"7 151 901 020,02"
João Pedro Magalhães da Silva Torres Dolores ,Hallituksen jäsen,Musti Group Oyj,"788 083 145,50"
João Nonell Günther Amaral,Hallituksen jäsen,Musti Group Oyj,"788 083 145,50"
Jeffrey David,Hallituksen jäsen,Musti Group Oyj,"788 083 145,50"
Kai Tavakka,Hallituksen jäsen,Remedy Entertainment Oyj,"225 787 165,66"
Annika Ekman,Hallituksen jäsen,Aspo Oyj,"183 491 509,36"
