Name,Boardseats,Companyname,Marketvalue
Risto Murto,2,"Nordea, Sampo",58 182 483 234
Arja Talma,4,"Nordea, Glaston, Metson, Verkkokauppa.com",47 665 255 750
Frank Vang-Jensen,1,Nordea,38 175 846 732
Gerhard Olsson,1,Nordea,38 175 846 732
Hans Christian Riise,1,Nordea,38 175 846 732
Joanna Koskinen,1,Nordea,38 175 846 732
Anne Koutonen,5,"HKScan, Merus Power, Modulight, Componenta, Kojamo",2 627 575 174
Anni Ronkainen,5,"Teleste, Sitowise, Loihde, Lassila & Tikanoja, Aallon",610 028 433
Leena Niemistö,5,"Pihlajalinna, Raisio, Digital Workforce Services, Nightingale Health, Nexstim",626 615 192
Mammu Kaario,4,"Puuilo, Gofore, Capman, Ponsse",2 133 244 531
Robert Ingman,4,"Evli, Digia, Qt, Etteplan",2 736 621 779
