source,target,value
Anne Koutonen,HKScan,5
Anne Koutonen,Merus Power,5
Anne Koutonen,Modulight,5
Anne Koutonen,Componenta,5
Anne Koutonen,Kojamo,5
Leena Niemistö,Pihlajalinna,5
Leena Niemistö,Raisio,5
Leena Niemistö,Digital Workforce Services,5
Leena Niemistö,Nightingale Health,5
Leena Niemistö,Nexstim,5
Anni Ronkainen,Teleste,5
Anni Ronkainen,Sitowise,5
Anni Ronkainen,Loihde,5
Anni Ronkainen,Lassila & Tikanoja,5
Anni Ronkainen,Aallon,5
Mammu Kaario,Puuilo,4
Mammu Kaario,Gofore,4
Mammu Kaario,Capman,4
Mammu Kaario,Ponsse,4
Robert Ingman,Evli,4
Robert Ingman,Digia,4
Robert Ingman,Qt,4
Robert Ingman,Etteplan,4
Arja Talma,Nordea,4
Arja Talma,Glaston,4
Arja Talma,Metso,4
Arja Talma,Verkkokauppa.com,4
Matts Rosenberg,Aktia Pankki,3
Matts Rosenberg,Terveystalo,3
Matts Rosenberg,Purmo,3
Reima Rytsölä,Stora Enso,3
Reima Rytsölä,Metso,3
Reima Rytsölä,Nokian Renkaat,3
Kim Ignatius,Pihlajalinna,3
Kim Ignatius,Elisa,3
Kim Ignatius,Duell,3
Anders Dahlblom,Enersense,3
Anders Dahlblom,Betolar,3
Anders Dahlblom,YIT,3
Johanna Lamminen,Mandatum,3
Johanna Lamminen,Alisa Pankki,3
Johanna Lamminen,Cargotec,3
Tero Weckroth,Alisa Pankki,3
Tero Weckroth,Nexstim,3
Tero Weckroth,Inderes,3
Johan Hammarén,Tecnotree,3
Johan Hammarén,Capman,3
Johan Hammarén,Fondia,3
Kirsi Sormunen,Spinnova,3
Kirsi Sormunen,Withsecure,3
Kirsi Sormunen,Exel Composites,3
Jyri Luomakoski,Purmo,3
Jyri Luomakoski,Fiskars,3
Jyri Luomakoski,YIT,3
Joakim Frimodig,Inderes,3
Joakim Frimodig,Aktia Pankki,3
Joakim Frimodig,Capman,3
Ville Vuori,Aspocomp,3
Ville Vuori,Enersense,3
Ville Vuori,Incap,3
Jaakko Eskola,Valmet,3
Jaakko Eskola,Cargotec,3
Jaakko Eskola,Enersense,3
Lauri Sipponen,HKScan,3
Lauri Sipponen,Raisio,3
Lauri Sipponen,Wulff-Yhtiöt,3
Harri Sivula,Kamux,3
Harri Sivula,KH Group,3
Harri Sivula,Tokmanni,3
Lasse Aho,Robit,3
Lasse Aho,Puuilo,3
Lasse Aho,Apetit,3
Timo Ahopelto,Nokia,3
