Names,Boardseats
Anne Koutonen,5
Anni Ronkainen,5
Leena Niemistö,5
Mammu Kaario,4
Robert Ingman,4
Arja Talma,4
Johan Hammarén,3
Reima Rytsölä,3
Lauri Sipponen,3
Joakim Frimodig,3
Johanna Lamminen,3
Ari Lehtoranta,3
Kim Ignatius,3
Mirel Leino-Haltia,3
Tero Weckroth,3
Timo Ahopelto,3
Pekka Vauramo,3
Kirsi Sormunen,3
Petri Roininen,3
Anders Dahlblom,3
Harri Sivula,3
Pasi Laine,3
Lasse Aho,3
Elina Rahkonen,3
Jyri Luomakoski,3
Catharina Stackelberg-Hammarén,3
Jyrki Mäki-Kala,3
Matts Rosenberg,3
Jukka Moisio,3
Niilo Fredrikson,3
Jaakko Eskola,3
Kai Telanne,3
Ville Vuori,3
Jannica  Fagerholm,3
Annareetta Lumme-Timonen,2
Teresa Kemppi-Vasama,2
Pia Kåll,2
Pekka Kemppainen,2
Olli Nokso-Koivisto,2
Heli Iisakka,2
Kai Tavakka,2
Henri Österlund,2
Henna Mäkinen,2
Heikki Länsisyrjä,2
Tapio Pajuharju,2
Peter Wiklöf,2
Annika Paasikivi,2
Olli Liitola,2
Antti Mäkelä,2
Ann-Christine Sundell,2
Mikko Bergman,2
Jari Pirinen,2
Jukka Leinonen,2
Risto Siilasmaa,2
Katarina Cantell,2
Yrjö Närhinen,2
Alexander Rosenlew,2
Sami Ensio,2
Aarne Aktan,2
Kaisa Salakka,2
Timo Kohtamäki,2
Tapani Rautiainen,2
Tiina Alahuhta-Kasko,2
Sari Pohjonen,2
Timur Kärki,2
Seppo Orsila,2
Paul Ehrnrooth,2
Kaarina Ståhlberg,2
Eeva-Liisa Virkkunen,2
Tuomas Syrjänen,2
Tomi Ristimäki,2
Petri Castrén,2
Elina Björklund,2
Patrick Lapveteläinen,2
Mika Ihamuotila,2
Pertti Ervi,2
Päivi Marttila,2
Matti Kaski,2
Matti Heikkonen,2
Marika Auramo,2
Heikki Westerlund,2
Markku Kankaala,2
Mika Joukio,2
Juha Vanhainen,2
Taina Ahvenjärvi,2
Casimir Lindholm,2
Kerttu Tuomas,2
Tapio Kolunsarka,2
Jarmo Halonen,2
Johan Westermarck,2
Harri Tahkola,2
Christina Dahlblom,2
Charles Héaulmé,2
Mikael Aro,2
Petter Söderström,2
Juho Nummela,2
Kati Riikonen,2
Mikko Kuitunen,2
Pekka Kuusniemi,2
Hanna Maria Sievinen,2
Kristian Pullola,2
Erkki Järvinen,2
Risto Murto,2
Jukka-Pekka Joensuu,2
Vesa-Pekka Kangaskorpi,2
Sami Honkonen,2
Johan Larsson,2
Petri  Kärkkäinen,2
Martin Lindqvist,2
Kari Jordan,2
Jostein Vik,2
Sari Helander,2
Timo Lappi,2
Harri Suutari,2
Piia-Noora Kauppi,2
Heikki Vauhkonen,2
Matti Kähkönen,2
Olli Pohjanvirta,2
Teemu Suna,2
Heikki Malinen,2
Markus Rauramo,2
Jukka Tapaninen,2
Julius Manni,2
Georg Ehrnrooth,2
Erja Sankari,2
Panu Porkka,2
Iikka Savisalo,2
Sanna Suvanto-Harsaae,2
Kaj Hagros,2
Vesa Silaskivi,2
Carl Haglund,2
Timo Pekkarinen,2
Jukka Jokela,2
Luisa Delgado,2
Kai Öistämö,2
Markku Jalkanen,2
Topi Manner,2
Arto Halonen,2
Teemu Kangas-Kärki,2
Arto Martonen,2
Jeanette Jäger,2
Terhi Koipijärvi,2
Eeva Raita,2
Mikko Wirén,2
Guy Konsbruck,2
Tarja  Pääkkönen,2
Tero Ojanperä,2
Petri Rignell,2
Hille Korhonen,2
Irmeli Rytkönen,2
Tommi Santanen,2
Mikael Mäkinen,2
Timo Mänty,2
Jarkko Joki-Tokola,2
Klaus Cawén,2
Tomas von Rettig,2
Esa Lager,2
Aarne Simula,2
Samu Konttinen,2
Catharina Candolin,1
Tuomo Louhivuori,1
Christian Fredrikson,1
Juha Ruohola,1
Jari Mäkilä,1
Tero Telaranta,1
Vesa Korpimies,1
Sebastian Bondestam,1
Leena Saarinen,1
Markku E. Rentto,1
Sari Tulander,1
Esa Harju,1
Topi Piela,1
Timo Luukkainen,1
Antti Kaunonen,1
Michael Willome,1
Sarlotta Narjus,1
Niclas Diesen,1
Veli-Matti Reinikkala,1
Toni Laaksonen,1
Jussi Himanen,1
Ilkka Uusitalo,1
Noora Neilimo-Kontio,1
Reijo Kiskola,1
Nina Ehrnrooth,1
Ari Harmaala,1
Ari Piik,1
Heikki Pesu,1
Timo Rantanen,1
Jenni Virnes,1
Joni Bask,1
Laura Raitio,1
Mika Saariaho,1
Mikko Kettunen,1
Mika Ståhlberg,1
Tomi Numminen,1
Kaisa Lipponen,1
Camilla Grönholm,1
Jouni Grönroos,1
Johan Grön,1
Jussi Vanhanen,1
Fred Larsen,1
Kim Väisänen,1
Simon Hallqvist,1
Ralf Holmlund,1
Ilkka Tykkyläinen,1
Marko Sipola,1
Sakari Toikkanen,1
Tuula Haataja,1
Sami Yski,1
Timo Lehtonen,1
Sarah van Hellenberg Hubar-Fisher,1
Terhi Tuomi,1
Jussi Aine,1
Petra Thorén,1
Päivi Malinen,1
Timo Vikström,1
Michael Piccirillo,1
Kari Nerg,1
Kustaa Poutiainen,1
Tomi Koivukoski,1
Anna Miettinen,1
Jussi Holopainen,1
Markus Myllymäki,1
Margit Lindholm,1
Petri Suokas,1
Asko Myllymäki,1
Sirpa-Helena Sormunen,1
Timo Metsola,1
Anne Westersund,1
Jaakko Sinnemaa,1
Arto Puolimatka,1
Thorstein Abrahamsen,1
Christine Roth,1
John Poulos,1
Juho Jalkanen,1
Marie-Louise Fjällskog,1
Tuomo Pätsi,1
Eero Heliövaara,1
Elina Piispanen,1
Heikki Haasmaa,1
Mats Åström,1
Niklas Sörensen,1
Tomi Terho,1
Marc Breitfeld,1
Simon Begg,1
Juha Nurminen,1
Karri Koskela,1
Antti Kangas,1
Ilkka Laurila,1
Olli Karhi,1
Timo Soininen,1
Johan Lundin,1
Jerry Jiang Hong,1
Maria Fe Paz de Paz,1
Pekka Mattila,1
Steven Lynum,1
Tuomas Tenkanen,1
Jaakko Kurikka,1
Kalle Kautto,1
Leena Hautsalo,1
Jelena Manojlovic,1
Samuli Seppälä,1
Robin Bade,1
Irena Goldenberg,1
Anders Fornander,1
Conrad Neil Phoenix,1
Jyoti Desai,1
Neil Macleod,1
Padma Ravichander,1
Emmanuel Viellard,1
Johan Berg,1
Julia Aubertin,1
Lars Ollberg,1
Pascal Lebard,1
Vesa Luhtanen,1
Alain-Gabriel Courtines,1
Caterina Fake,1
Petteri Koponen,1
Henrik Pankakoski,1
Tuomo Vähäpassi,1
