personname,companyboards,company_count
Anne Koutonen,"HKScan, Merus Power, Modulight, Componenta, Kojamo",5
Leena Niemistö,"Pihlajalinna, Raisio, Digital Workforce Services, Nightingale Health, Nexstim",5
Anni Ronkainen,"Teleste, Sitowise, Loihde, Lassila & Tikanoja, Aallon",5
Mammu Kaario,"Puuilo, Gofore, Capman, Ponsse",4
Robert Ingman,"Evli, Digia, Qt, Etteplan",4
Arja Talma,"Nordea, Glaston, Metso, Verkkokauppa.com",4
Matts Rosenberg,"Aktia Pankki, Terveystalo, Purmo",3
Reima Rytsölä,"Stora Enso, Metso, Nokian Renkaat",3
Kim Ignatius,"Pihlajalinna, Elisa, Duell",3
Anders Dahlblom,"Enersense, Betolar, YIT",3
Johanna Lamminen,"Mandatum, Alisa Pankki, Cargotec",3
Tero Weckroth,"Alisa Pankki, Nexstim, Inderes",3
Johan Hammarén,"Tecnotree, Capman, Fondia",3
Kirsi Sormunen,"Spinnova, Withsecure, Exel Composites",3
Jyri Luomakoski,"Purmo, Fiskars, YIT",3
Joakim Frimodig,"Inderes, Aktia Pankki, Capman",3
Ville Vuori,"Aspocomp, Enersense, Incap",3
Jaakko Eskola,"Valmet, Cargotec, Enersense",3
Lauri Sipponen,"HKScan, Raisio, Wulff-Yhtiöt",3
Harri Sivula,"Kamux, KH Group, Tokmanni",3
Lasse Aho,"Robit, Puuilo, Apetit",3
Timo Ahopelto,"Nokia, Digital Workforce Services, Lifeline SPAC I",3
Jannica  Fagerholm,"Mandatum, Kesko, Sampo",3
Ari Lehtoranta,"Terveystalo, Orion, SRV Yhtiöt",3
Catharina Stackelberg-Hammarén,"Harvia, Purmo, Alma Media",3
Jyrki Mäki-Kala,"Outokumpu, Orthex, Anora",3
Mirel Leino-Haltia,"Ålandsbanken, Sitowise, Teleste",3
Christina Dahlblom,"Evli, Viking Line",2
Tero Ojanperä,"Betolar, Siili Solutions",2
Marika Auramo,"Qt, Digital Workforce Services",2
Petter Söderström,"Tietoevry, Outokumpu",2
Juha Vanhainen,"Metsä Board, Ponsse",2
Tapio Kolunsarka,"Cargotec, Aspo",2
Elina Rahkonen,"LapWall, Kreate",2
Antti Mäkelä,"Witted Megacorp, Kamux",2
Kati Riikonen,"Kamux, Verkkokauppa.com",2
Matti Heikkonen,"Qt, QPR Software",2
Tomas von Rettig,"eQ, Purmo",2
Eeva Raita,"Reka Industrial, Titanium",2
Jukka Moisio,"Cargotec, Metsä Board",2
Kerttu Tuomas,"YIT, Huhtamäki",2
Mikko Bergman,"Tokmanni, Titanium",2
Jukka-Pekka Joensuu,"Endomines Finland, Administer",2
Markku Kankaala,"NY, Wetteri",2
Hille Korhonen,"Harvia, Asuntosalkku",2
Yrjö Närhinen,"Oriola, LeadDesk",2
Sari Pohjonen,"Aktia Pankki, Lindex",2
Arto Martonen,"Vincit, Alexandria",2
Mikko Wirén,"Pihlajalinna, Eezy",2
Henna Mäkinen,"Siili Solutions, Admicom",2
Jukka Jokela,"Endomines Finland, Sotkamo Silver",2
Vesa Silaskivi,"Spinnova, Biohit",2
Kristian Pullola,"Terveystalo, Kemira",2
Timo Pekkarinen,"Kreate, LapWall",2
Tuomas Syrjänen,"Vaisala, Withsecure",2
Pekka Kemppainen,"Bittium, Valmet",2
Georg Ehrnrooth,"eQ, Sampo",2
Heli Iisakka,"Pihlajalinna, SRV Yhtiöt",2
Sami Honkonen,"Fondia, Alisa Pankki",2
Erkki Järvinen,"Fodelia, Tokmanni",2
Annika Paasikivi,"Valmet, Kemira",2
Katarina Cantell,"Siili Solutions, Solteq",2
Annareetta Lumme-Timonen,"Valmet, Anora",2
Kai Tavakka,"Remedy Entertainment, SSAB Communications Security",2
Olli Liitola,"Harvia, Capman",2
Niilo Fredrikson,"Efecte, Withsecure",2
Elina Björklund,"Nokian Renkaat, Taaleri",2
Carl Haglund,"Aktia Pankki, Enersense",2
Kaisa Salakka,"Remedy Entertainment, Alma Media",2
Erja Sankari,"Partnera, Nurminen Logistics",2
Terhi Koipijärvi,"Ponsse, Metso",2
Timo Mänty,"NoHo Partners, KH Group",2
Jukka Leinonen,"Pihlajalinna, Lassila & Tikanoja",2
Heikki Länsisyrjä,"PunaMusta Media, Digital Workforce Services",2
Timo Lappi,"Fondia, Witted Megacorp",2
Ann-Christine Sundell,"Revenio, Raisio",2
Teemu Kangas-Kärki,"Marimekko, Lassila & Tikanoja",2
Tarja  Pääkkönen,"United Bankers, Panostaja",2
Tapani Rautiainen,"Ovaro Kiinteistösioitus, Investors House",2
Kaarina Ståhlberg,"Aspo, Vaisala",2
Kai Telanne,"Robit, Teleste",2
Piia-Noora Kauppi,"Gofore, UPM-Kymmene",2
Taina Ahvenjärvi,"Ovaro Kiinteistösioitus, Investors House",2
Esa Lager,"Alma Media, Ilkka",2
Hanna Maria Sievinen,"Taaleri, Koskisen",2
Petri Castrén,"Taaleri, Vaisala",2
Pasi Laine,"Neste, Konecranes",2
Petri Roininen,"Investors House, Ovaro Kiinteistösioitus",2
Jarmo Halonen,"BBS-Bioactive Bone Substitutes, Elecster",2
Teresa Kemppi-Vasama,"Kempower, Cargotec",2
Mika Ihamuotila,"Sanoma, Marimekko",2
Sari Helander,"Evli, Enersense",2
Henri Österlund,"Remedy Entertainment, SSAB Communications Security",2
Risto Murto,"Nordea, Sampo",2
Timo Kohtamäki,"Kreate, Honkarakenne",2
Klaus Cawén,"Sanoma, Metso",2
Paul Ehrnrooth,"Digitalist, Fiskars",2
Petri  Kärkkäinen,"Toivo, Titanium",2
Jostein Vik,"LeadDesk, Heeros",2
Pekka Vauramo,"Nokian Renkaat, Huhtamäki",2
Mikko Kuitunen,"Robit, Vincit",2
Irmeli Rytkönen,"Verkkokauppa.com, Nurminen Logistics",2
Heikki Westerlund,"Oriola, Aspo",2
Risto Siilasmaa,"F-Secure, Withsecure",2
Päivi Marttila,"Reka Industrial, Aspocomp",2
Kaj Hagros,"Loihde, Inderes",2
Patrick Lapveteläinen,"Mandatum, Enento",2
Petri Rignell,"Kreate, Consti",2
Harri Tahkola,"Toivo, Talenom",2
Matti Kähkönen,"Kemira, Neste",2
Mikael Aro,"Caverion, Kojamo",2
Mikael Mäkinen,"SSAB, Valmet",2
Timur Kärki,"Modulight, Gofore",2
Eeva-Liisa Virkkunen,"Robit, Sotkamo Silver",2
Sanna Suvanto-Harsaae,"Finnair, Orthex",2
Pertti Ervi,"F-Secure, QPR Software",2
Harri Suutari,"PunaMusta Media, Componenta",2
Kari Jordan,"Stora Enso, Outokumpu",2
Luisa Delgado,"Fortum, Telia Company",2
